"Airport.Code","Severity.Index.Rating","Latitude","Longitude","Airport.Name"
"ABI",3.28,32.411,-99.682,"ABILENE RGNL"
"ABQ",1.94,35.04,-106.609,"ALBUQUERQUE INTERNATIONAL SUNPORT"
"ACK",3.33,41.253,-70.06,"NANTUCKET MEM"
"ACY",3.44,39.458,-74.577,"ATLANTIC CITY INTERNATIONAL"
"ADQ",9.9,57.75,-152.494,"KODIAK"
"AEX",2.08,31.327,-92.548,"ALEXANDRIA INTERNATIONAL"
"AGS",1.4,33.37,-81.964,"AUGUSTA RGNL AT BUSH FLD"
"AKN",5.5,58.677,-156.649,"KING SALMON"
"AKR",2.3,41.038,-81.467,"AKRON FULTON INTERNATIONAL"
"ALB",19.5,42.748,-73.803,"ALBANY INTERNATIONAL"
"AMA",5.75,35.219,-101.706,"AMARILLO INTERNATIONAL"
"ANC",2.33,61.174,-149.996,"TED STEVENS ANCHORAGE INTERNATIONAL"
"AND",1.5,34.495,-82.709,"ANDERSON RGNL"
"AOO",2.98,40.296,-78.32,"ALTOONA BLAIR CO"
"ARA",2,30.038,-91.884,"ACADIANA REGIONAL"
"ART",4,43.992,-76.022,"WATERTOWN INTERNATIONAL"
"ATL",22,33.64,-84.427,"THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL"
"AUG",2,44.321,-69.797,"AUGUSTA STATE"
"AUS",3.93,30.194,-97.67,"AUSTIN BERGSTROM INTERNATIONAL"
"BCT",1.83,26.378,-80.107,"BOCA RATON"
"BDE",6,48.728,-94.612,"BAUDETTE INTERNATIONAL"
"BDL",17.76,41.939,-72.683,"BRADLEY INTERNATIONAL"
"BDR",2.17,41.163,-73.126,"IGOR I SIKORSKY MEM"
"BED",6.04,42.47,-71.289,"LAURENCE G HANSCOM FLD"
"BET",4.95,60.78,-161.838,"BETHEL"
"BFI",2.42,47.53,-122.302,"BOEING FLD KING CO INTERNATIONAL"
"BFL",1.98,35.433,-119.057,"MEADOWS FLD"
"BFM",2.9,30.626,-88.068,"MOBILE DOWNTOWN"
"BGR",1,44.807,-68.828,"BANGOR INTERNATIONAL"
"BHM",3.57,33.563,-86.753,"BIRMINGHAM INTERNATIONAL"
"BLI",1.79,48.792,-122.537,"BELLINGHAM INTERNATIONAL"
"BLV",3,38.545,-89.835,"SCOTT AFB MIDAMERICA"
"BNA",3,36.124,-86.678,"NASHVILLE INTERNATIONAL"
"BOI",2.15,43.564,-116.223,"BOISE AIR TERMINAL"
"BOS",12,42.364,-71.005,"GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL"
"BPT",2.2,29.951,-94.021,"SOUTHEAST TEXAS RGNL"
"BRO",1.1,25.907,-97.426,"BROWNSVILLE SOUTH PADRE ISLAND INTERNATIONAL"
"BTI",1.8,70.134,-143.577,"BARTER ISLAND LRRS"
"BTR",2.98,30.533,-91.149,"BATON ROUGE METRO RYAN FLD"
"BTT",3,66.915,-151.528,"BETTLES"
"BTV",2.19,44.472,-73.153,"BURLINGTON INTERNATIONAL"
"BUF",1.96,42.94,-78.732,"BUFFALO NIAGARA INTERNATIONAL"
"BUR",2.63,34.201,-118.359,"BURBANK GLENDALE PASADENA"
"BWI",3.12,39.175,-76.668,"BALTIMORE WASHINGTON INTERNATIONAL"
"CAE",1.83,33.939,-81.119,"COLUMBIA METROPOLITAN"
"CDB",2,55.206,-162.724,"COLD BAY"
"CDC",3.6,37.701,-113.099,"CEDAR CITY RGNL"
"CDS",1,34.434,-100.288,"CHILDRESS MUNI"
"CDV",1,60.492,-145.477,"MERLE K MUDHOLE SMITH"
"CEW",1,30.779,-86.522,"BOB SIKES"
"CFD",4.6,30.716,-96.331,"COULTER FLD"
"CHA",5.3,35.035,-85.204,"LOVELL FLD"
"CHS",2.92,32.899,-80.04,"CHARLESTON AFB INTERNATIONAL"
"CIC",6.2,39.795,-121.858,"CHICO MUNI"
"CLE",6,41.412,-81.85,"CLEVELAND HOPKINS INTERNATIONAL"
"CLL",3.6,30.588,-96.364,"EASTERWOOD FLD"
"CLT",13.2,35.214,-80.943,"CHARLOTTE DOUGLAS INTERNATIONAL"
"CMH",1.5,39.998,-82.892,"PORT COLUMBUS INTERNATIONAL"
"CNM",1,32.337,-104.263,"CAVERN CITY AIR TERMINAL"
"COS",3.29,38.806,-104.7,"CITY OF COLORADO SPRINGS MUNI"
"COU",1.75,38.818,-92.219,"COLUMBIA RGNL"
"CPR",2.04,42.908,-106.464,"NATRONA CO INTERNATIONAL"
"CRP",1.45,27.77,-97.501,"CORPUS CHRISTI INTERNATIONAL"
"CTB",2,48.608,-112.376,"CUT BANK MUNI"
"CVG",5.93,39.046,-84.662,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL"
"CXL",3,32.669,-115.513,"CALEXICO INTERNATIONAL"
"CXO",2.92,30.352,-95.414,"MONTGOMERY CO"
"CYS",2.72,41.156,-104.812,"CHEYENNE"
"DAL",13.5,32.847,-96.852,"DALLAS LOVE FLD"
"DAY",3,39.902,-84.219,"JAMES M COX DAYTON INTERNATIONAL"
"DCA",3.5,38.852,-77.037,"RONALD REAGAN WASHINGTON NATIONAL"
"DEN",8.11,39.858,-104.667,"DENVER INTERNATIONAL"
"DET",2.65,42.409,-83.01,"DETROIT CITY"
"DFW",13.27,32.896,-97.037,"DALLAS FORT WORTH INTERNATIONAL"
"DHN",1.5,31.321,-85.449,"DOTHAN RGNL"
"DHT",2.57,36.023,-102.547,"DALHART MUNI"
"DLG",2.67,59.045,-158.503,"DILLINGHAM"
"DLH",1,46.842,-92.194,"DULUTH INTERNATIONAL"
"DOV",3,39.13,-75.466,"DOVER AFB"
"DPA",2.98,41.908,-88.249,"DU PAGE"
"DRO",2.25,37.151,-107.754,"DURANGO LA PLATA CO"
"DRT",2.9,29.373,-100.926,"DEL RIO INTERNATIONAL"
"DSM",5.8,41.534,-93.663,"DES MOINES INTERNATIONAL"
"DTW",32,42.212,-83.353,"DETROIT METRO WAYNE CO"
"DUG",2,31.469,-109.604,"BISBEE DOUGLAS INTERNATIONAL"
"DUT",9,53.9,-166.543,"UNALASKA"
"DYS",2.43,32.421,-99.854,"DYESS AFB"
"EDF",2,61.251,-149.806,"ELMENDORF AFB"
"EDW",1,34.905,-117.884,"EDWARDS AFB"
"EFD",2.88,29.607,-95.159,"ELLINGTON FLD"
"ELD",3.6,33.221,-92.813,"SOUTH ARKANSAS RGNL AT GOODWIN FLD"
"ELP",2.3,31.807,-106.378,"EL PASO INTERNATIONAL"
"ENA",2.33,60.573,-151.245,"KENAI MUNI"
"ENV",2.2,40.719,-114.031,"WENDOVER"
"EWN",1.47,35.073,-77.043,"CRAVEN CO RGNL"
"EWR",13.5,40.692,-74.169,"NEWARK LIBERTY INTERNATIONAL"
"EYW",5.21,24.556,-81.759,"KEY WEST INTERNATIONAL"
"FAI",2.51,64.815,-147.856,"FAIRBANKS INTERNATIONAL"
"FAT",1.82,36.776,-119.718,"FRESNO YOSEMITE INTERNATIONAL"
"FFO",1.55,39.826,-84.048,"WRIGHT PATTERSON AFB"
"FHU",2.65,31.588,-110.344,"SIERRA VISTA MUNI LIBBY AAF"
"FLL",4.22,26.072,-80.153,"FORT LAUDERDALE HOLLYWOOD INTERNATIONAL"
"FLV",1,39.368,-94.914,"SHERMAN AAF"
"FMN",1.86,36.741,-108.23,"FOUR CORNERS RGNL"
"FMY",2.66,26.586,-81.863,"PAGE FLD"
"FOD",9,42.551,-94.193,"FORT DODGE RGNL"
"FOK",5.47,40.844,-72.632,"THE FRANCIS S GABRESKI"
"FSM",2.75,35.336,-94.367,"FORT SMITH RGNL"
"FTW",1.84,32.82,-97.362,"FORT WORTH MEACHAM INTERNATIONAL"
"FXE",3.33,26.197,-80.171,"FORT LAUDERDALE EXECUTIVE"
"FYV",7.78,36.005,-94.17,"DRAKE FLD"
"GCK",2.15,37.927,-100.724,"GARDEN CITY RGNL"
"GEG",1,47.62,-117.534,"SPOKANE INTERNATIONAL"
"GFK",1.67,47.949,-97.176,"GRAND FORKS INTERNATIONAL"
"GGG",1,32.385,-94.711,"EAST TEXAS RGNL"
"GKN",1,62.155,-145.456,"GULKANA"
"GLS",16,29.265,-94.86,"SCHOLES INTERNATIONAL AT GALVESTON"
