Make,Model
Airbus,A220
Airbus,A320
Airbus,A330
Airbus,A350
Antonov,An-148/An-158
Boeing,737
Boeing,767
Boeing,777
Boeing,787
Comac,ARJ21
Comac,C919
CRAIC,CR929
Embraer,E-Jet
Embraer,E-Jet
Ilyushin,Il-96
Irkut,MC-21
Sukhoi,Superjet
Tupolev,Tu-204/Tu-214
Airbus,A300
Airbus,A310
Airbus,A318
Airbus,A340
Airbus,A380
Boeing,727
Boeing,747
Boeing,757
Boeing,717
Bombardier,CRJ100/CRJ200/CRJ440
Bombardier,CRJ700/CRJ705/CRJ900/CRJ1000
British,Aerospace
Douglas,DC-8
Embraer,ERJ
Fairchild-Dornier,328JET
Fokker,100
Fokker,70
Ilyushin,Il-62
McDonnell,Douglas
McDonnell,Douglas
McDonnell,Douglas
McDonnell,Douglas
Tupolev,Tu-134
Tupolev,Tu-154
Yakovlev,Yak-40
Yakovlev,Yak-42
McDonnell,Douglas
Fokker,F28
VFW-Fokker,614
Vickers,VC10
Tupolev,Tu-334
Tupolev,Tu-104
Tupolev,Tu-110
Tupolev,Tu-124
Tupolev,Tu-144
Shanghai,Y-10
Sud,Aviation
Lockheed,L-1011
Ilyushin,Il-86
Hawker,Siddeley
Convair,880
Convair,990
Dassault,Mercure
de,Havilland
Boeing,720
Avro,Canada
Baade,152
BAC,One-Eleven
Rombac,11-Jan
Boeing,707
